Julian Day,Ross,King Hakon,East Antarctica,Weddell,Bellinghausen
1,3.04835153980933,2.34764779500025,1.19743190163978,2.69395850752659,0.691280866082864
2,3.00150247539646,2.23642997116829,1.17859687721292,2.68159618227864,0.678880195002502
3,2.9605631837386,2.12536839814045,1.16192338979441,2.66709880517216,0.670151878977895
4,2.91767414978663,2.01818196145837,1.13746780623652,2.64640726269587,0.654950441293201
5,2.86285157746515,1.9097392562175,1.11689323057353,2.62135207884773,0.642670690719614
6,2.81640405813355,1.82311294408683,1.09086117564651,2.59620775249068,0.630970991583597
7,2.7653477008236,1.72933055836291,1.06655246912792,2.57219983043739,0.618940450777578
8,2.70747647713378,1.63720542192204,1.04887500009395,2.53904484701128,0.612308622309527
9,2.6453315444612,1.5516304665093,1.02396647281202,2.50829345311939,0.602581982039263
10,2.58664898305782,1.47002241226945,1.00760877349465,2.47520174834962,0.593435153887284
11,2.51899798741196,1.39341381447937,0.993633424048293,2.43219847642782,0.583081942103141
12,2.47294014672433,1.32403791434187,0.969230888869527,2.38392665284942,0.578416209979556
13,2.41852925983149,1.25372307849088,0.953648994052445,2.34141430732418,0.567276922301004
14,2.35839630393039,1.17616746536351,0.936832338601849,2.31190657272336,0.560307880027952
15,2.30718840860029,1.10423510764804,0.920072809149413,2.27858113091224,0.549285035513538
16,2.25665283797797,1.03507479280084,0.910315486819049,2.2421445324575,0.54202543770935
17,2.20450903888815,0.969612560918564,0.896803089582082,2.19712316809692,0.53180523363193
18,2.15034790140573,0.917819006991056,0.883949502184349,2.15498176269985,0.524784673542546
19,2.09988461007191,0.880790614535415,0.873547317640001,2.12439491846848,0.515391248048901
20,2.04324149720722,0.835786714549141,0.865165972499381,2.09853270482934,0.502258265209037
21,1.98921398171064,0.801163920421258,0.850064025408395,2.05513975082205,0.491603706520005
22,1.93274785062991,0.771622694283877,0.842393053044746,2.02279339891714,0.481062051594918
23,1.87528606173858,0.740627971098646,0.828085041491629,1.99340107669521,0.474353785564166
24,1.81977192378209,0.710747533609096,0.814322426052162,1.95803282525454,0.469107084537401
25,1.75880248565194,0.677191036734716,0.796915603591907,1.92535123707988,0.459762998118038
26,1.70271620521513,0.653805302394594,0.787779364349226,1.89569585063199,0.451501668467892
27,1.63716542551899,0.634311453220079,0.773147435272071,1.86302642144977,0.441176019068506
28,1.5701335488601,0.612284158466732,0.762161816267706,1.82949175304428,0.435398479772945
29,1.51363017828339,0.591707005379606,0.751315834451574,1.79324484003998,0.428710376845446
30,1.45354436404414,0.57512936076587,0.737355651191002,1.76183816011082,0.421188227652877
31,1.39246888413013,0.558175625502572,0.72674134492093,1.73045450774497,0.410451760289632
32,1.33351967611622,0.534631797980059,0.710700693404962,1.69560425121967,0.405300040279088
33,1.28589336242021,0.51264442243129,0.705401174768295,1.66428596995547,0.399899444483556
34,1.23953076646655,0.492539328504698,0.69614275170993,1.63855052611352,0.389558374617074
35,1.18516484712228,0.473561482231016,0.690194150992345,1.60799586018145,0.385040821237614
36,1.12502125865808,0.458427104272042,0.676510041311091,1.57760087231145,0.377730885329694
37,1.07291288655538,0.445416547608418,0.664354587829519,1.55130672701965,0.370833356928211
38,1.02262660394644,0.432342274179254,0.658917324704787,1.52602603648549,0.363400603978141
39,0.990121143407276,0.418693696170791,0.653077832968628,1.49892179094411,0.356028108803307
40,0.946663564519313,0.407948071518709,0.644442513881944,1.47811436333463,0.350995061157168
41,0.903612381314154,0.396478126965649,0.637327973398281,1.45890342889145,0.344416682842224
42,0.868445664103475,0.385479037102972,0.629401412257367,1.44120958906587,0.337938214999731
43,0.8359686146778,0.374623973582191,0.620373724468616,1.42041693742395,0.330043893082735
44,0.805918299772756,0.36779899205228,0.613994011279122,1.40275392211016,0.319556252609216
45,0.778964109344044,0.357961680212911,0.599650361552628,1.38757111337502,0.311859026927165
46,0.761025507138035,0.345467646422953,0.59093672132125,1.37054546705559,0.301809664415118
47,0.741562214829484,0.33466194152339,0.584398182846008,1.35438295715907,0.295745644406757
48,0.709467299532345,0.327866419139397,0.579572146563227,1.3419423774927,0.291005652095863
49,0.69292375096137,0.324169012050254,0.571297879971394,1.33097040867293,0.285856437285226
50,0.677557058049817,0.320645708273434,0.561110021928872,1.31769892681171,0.27558282964205
51,0.655184255386553,0.319148185723902,0.552683613785933,1.30533063125515,0.274522609319047
52,0.639232316824555,0.307511932991814,0.541982135326867,1.29143397464379,0.270035216918859
53,0.616906334112501,0.297977948400629,0.534852189979269,1.28100010474297,0.262059703294041
54,0.601088443433161,0.292608282947828,0.533451650048835,1.27163265143169,0.257349261550248
55,0.585884784312317,0.287309269893407,0.533266731009699,1.25906351858566,0.252076769257739
56,0.577087710460939,0.278878158639516,0.524095855623583,1.25292259792664,0.246417729290497
57,0.568126174328309,0.272035396471256,0.513670853175451,1.24768981141443,0.242061212139964
58,0.556218322389476,0.263740666835475,0.509468326279824,1.2427376338505,0.23636402788002
59,0.545117068410384,0.255505837717171,0.497845508250767,1.24047361571945,0.229041874843403
60,0.530549052552874,0.252401258226971,0.495490582613415,1.23176696762806,0.222607327919855
61,0.524223152183383,0.248377175383945,0.492966569842204,1.22416129913416,0.220394779338661
62,0.511518581814951,0.243412809364426,0.488469894508225,1.21432579494734,0.214927561365058
63,0.513126886173832,0.241414154584488,0.483170417935938,1.21396842678602,0.212364502931485
64,0.501574372450943,0.239583718511727,0.481894770695308,1.20781271403024,0.208313502900012
65,0.4999373249582,0.231752195249638,0.475952427597224,1.208516631608,0.207790034586935
