Julian Day,Ross,King Hakon,East Antarctica,Weddell,Bellinghausen
12,2.7761425302929,1.3914886214448,1.0504389163304,2.68990377748885,0.60835572397246
13,2.71404139991818,1.3110257946378,1.03155295433248,2.65048050690087,0.597653244769292
14,2.66195791962584,1.20875473868372,1.01388774792452,2.60523592615205,0.592099936022534
15,2.61195483941144,1.11183789074737,1.00183851368959,2.56321622523475,0.583390815799209
16,2.55832692096385,1.046607733492,0.986185222365661,2.53222702060454,0.572391875456296
17,2.50613626949531,0.977299382679098,0.974488782057426,2.48139733957899,0.562900413483302
18,2.44069251506143,0.906708559923453,0.968685888520863,2.43507661611486,0.552156396085286
19,2.39099140930164,0.839658160135894,0.953870158806032,2.39227728518678,0.537930354275538
20,2.33702201257319,0.779256727794898,0.934626016864845,2.3450805366745,0.528955905269033
21,2.28344931862779,0.731489181089285,0.922596942633241,2.30313867709006,0.521363136089038
22,2.23470062835843,0.694209310270328,0.903800004102636,2.2581902259608,0.510580224190162
23,2.16914194652802,0.656568041656269,0.893280675555053,2.21005689614591,0.501310890938282
24,2.1144685600067,0.627251936263807,0.880512262355664,2.1562624626414,0.495838855379487
25,2.06757652980947,0.60194387602331,0.867655643189729,2.1211376515686,0.489083526350061
26,2.00832335405514,0.572575578558715,0.855135607411839,2.0828665729817,0.484949088757312
27,1.94943449577112,0.552198626249032,0.835209562418293,2.0364642194922,0.478697094304655
28,1.89809595063214,0.531080591746318,0.824655106177859,1.99332494641067,0.473476308150661
29,1.84849589916159,0.513996199633282,0.81578362762673,1.95321161044946,0.466635616599528
30,1.79287241357672,0.496276321230327,0.801083658968818,1.91691711184801,0.464278681787889
31,1.74252913238034,0.482773242313684,0.78887120148581,1.8812950876384,0.458848659122947
32,1.70179188025317,0.467429096814957,0.770198697438137,1.85083479895641,0.452199139537336
33,1.65262659090985,0.445061811417516,0.75616801578541,1.81266095684558,0.446700109865177
34,1.60550692788513,0.432283459521829,0.749642130777895,1.78511573787138,0.437014576884944
35,1.5638737217854,0.408717464222942,0.739675691099261,1.75233958964327,0.434356445366774
36,1.51747077596034,0.393546418502793,0.726067328728912,1.7327362574649,0.427365442460698
37,1.47628593123217,0.379643420965944,0.714810470716325,1.70504113053985,0.423293589898656
38,1.43832622573354,0.367561361039914,0.709208890346999,1.67820000922813,0.417725758357307
39,1.40343396183147,0.357410096311886,0.694312440367669,1.65642159036111,0.40797637289257
40,1.36194478055067,0.345639788979612,0.681374782966226,1.63062492383336,0.398786876728954
41,1.32731655796521,0.337885892039307,0.674030938065182,1.60620899794409,0.391528469868565
42,1.29957529666534,0.332347131075326,0.661989688681365,1.5805325642044,0.384133031844156
43,1.27459450583231,0.325015936250769,0.651335011801286,1.55880894902527,0.374911731090361
44,1.24371867829002,0.318627590709034,0.639887655220691,1.53644684562629,0.370775256448081
45,1.21068383285967,0.310990319573911,0.634523525148035,1.52304030108301,0.365154227394194
46,1.18780232890298,0.305663091770095,0.630226546410099,1.5040996144066,0.360080692333762
47,1.15429512217762,0.293639803206366,0.619305738463771,1.48563822789961,0.35554528807617
48,1.12379446080412,0.280120695466653,0.610227778431581,1.46032162983147,0.351324754877942
49,1.09156670202917,0.267767388568832,0.600365914546643,1.43995715476357,0.342620562503545
50,1.06735363608513,0.256968712407434,0.592629631081467,1.41606630161349,0.334078170930127
51,1.05264518618176,0.249474287716592,0.584021861329318,1.40020429800591,0.326489210884072
52,1.03319977657669,0.241569604763953,0.57361649407683,1.38793195771825,0.317605766981931
53,1.01201691758551,0.237052407174976,0.564891745187071,1.37040935446188,0.310655990825854
54,0.99224341979116,0.236543244681109,0.55676685315468,1.35397155737606,0.305675324644049
